Pedestrian_Involved,Accident Severity,Time of Day,Day of Week,Weather Conditions,Lighting Conditions,Road Type,Road Condition,Traffic Control Presence,Speed Limit (km/h),Number of Vehicles Involved
0,Minor,20:35,Thursday,Clear,Dusk,State Highway,Wet,Unknown,115,5
0,Fatal,2:21,Friday,Hazy,Daylight,National Highway,Under Construction,Signs,31,3
0,Serious,6:32,Wednesday,Hazy,Dusk,National Highway,Wet,Signals,80,1
0,Fatal,6:7,Tuesday,Stormy,Dawn,Village Road,Under Construction,Unknown,96,2
0,Minor,7:27,Wednesday,Rainy,Daylight,Urban Road,Wet,Unknown,71,2
0,Serious,8:34,Friday,Rainy,Daylight,Urban Road,Wet,Signs,91,2
0,Serious,10:7,Monday,Foggy,Dusk,National Highway,Wet,Unknown,55,3
0,Minor,20:27,Thursday,Foggy,Dusk,National Highway,Wet,Signs,85,3
0,Minor,5:22,Wednesday,Clear,Daylight,Urban Road,Under Construction,Signs,62,2
0,Minor,5:22,Thursday,Rainy,Daylight,Urban Road,Under Construction,Signs,83,1
0,Serious,19:20,Saturday,Hazy,Dusk,Urban Road,Under Construction,Signals,31,3
0,Minor,9:35,Thursday,Clear,Dusk,Village Road,Damaged,Police Checkpost,119,4
0,Minor,10:4,Sunday,Hazy,Dusk,National Highway,Dry,Signs,55,3
0,Serious,14:45,Sunday,Hazy,Dusk,Village Road,Damaged,Police Checkpost,67,2
1,Fatal,6:46,Tuesday,Rainy,Daylight,Urban Road,Damaged,Signs,105,4
0,Minor,12:25,Friday,Rainy,Dusk,National Highway,Dry,Signals,99,5
0,Fatal,15:39,Monday,Rainy,Dusk,Village Road,Under Construction,Police Checkpost,48,3
0,Fatal,16:45,Thursday,Foggy,Daylight,State Highway,Dry,Unknown,96,5
1,Fatal,11:33,Monday,Rainy,Daylight,Urban Road,Dry,Unknown,103,5
1,Serious,17:16,Friday,Stormy,Daylight,Village Road,Under Construction,Unknown,55,2
0,Fatal,17:47,Friday,Foggy,Dusk,National Highway,Damaged,Unknown,68,5
1,Serious,13:50,Monday,Foggy,Dark,National Highway,Damaged,Signals,66,3
0,Fatal,8:11,Monday,Clear,Dawn,Village Road,Wet,Signs,70,2
0,Serious,11:11,Saturday,Foggy,Daylight,National Highway,Damaged,Signals,102,5
0,Minor,1:57,Wednesday,Stormy,Dark,Urban Road,Damaged,Unknown,107,1
0,Fatal,0:51,Monday,Hazy,Daylight,State Highway,Under Construction,Unknown,87,1
0,Fatal,5:2,Wednesday,Foggy,Dawn,Urban Road,Under Construction,Signs,90,2
0,Serious,15:44,Sunday,Foggy,Dawn,State Highway,Dry,Signs,58,2
0,Serious,13:11,Thursday,Clear,Dark,State Highway,Wet,Unknown,95,5
0,Fatal,5:10,Wednesday,Clear,Dusk,Village Road,Wet,Unknown,58,5
0,Serious,8:20,Monday,Foggy,Dusk,Urban Road,Under Construction,Unknown,98,2
0,Fatal,16:22,Monday,Stormy,Dark,National Highway,Dry,Signals,80,3
0,Minor,20:13,Tuesday,Rainy,Dark,Village Road,Damaged,Police Checkpost,96,1
0,Fatal,11:7,Monday,Rainy,Dark,State Highway,Wet,Signals,39,4
1,Minor,4:23,Tuesday,Foggy,Dark,National Highway,Damaged,Unknown,51,4
0,Serious,11:42,Wednesday,Rainy,Dusk,Village Road,Dry,Signals,46,3
0,Fatal,0:6,Tuesday,Clear,Dusk,National Highway,Dry,Signs,75,1
0,Fatal,4:39,Wednesday,Clear,Dusk,Urban Road,Dry,Unknown,68,4
0,Minor,1:52,Thursday,Rainy,Dawn,State Highway,Damaged,Signs,107,5
0,Serious,1:27,Tuesday,Stormy,Daylight,Village Road,Under Construction,Signs,80,5
0,Minor,22:16,Saturday,Foggy,Daylight,Urban Road,Under Construction,Unknown,115,4
0,Serious,17:57,Sunday,Hazy,Dusk,State Highway,Damaged,Unknown,44,2
0,Minor,6:48,Saturday,Hazy,Dusk,National Highway,Wet,Signals,67,1
0,Serious,21:59,Tuesday,Clear,Daylight,Village Road,Under Construction,Signals,97,1
0,Serious,16:18,Sunday,Hazy,Dawn,Urban Road,Dry,Signs,79,5
0,Minor,3:43,Thursday,Hazy,Dark,State Highway,Dry,Unknown,63,3
0,Fatal,7:41,Tuesday,Foggy,Dark,Urban Road,Dry,Signals,84,5
0,Serious,3:40,Thursday,Foggy,Dusk,National Highway,Dry,Signs,43,3
0,Fatal,16:57,Tuesday,Hazy,Dusk,State Highway,Dry,Police Checkpost,39,2
0,Fatal,8:47,Wednesday,Clear,Dark,Village Road,Dry,Signals,35,3
0,Minor,22:10,Monday,Rainy,Daylight,State Highway,Damaged,Unknown,32,4
0,Minor,9:44,Saturday,Hazy,Dusk,Village Road,Wet,Signals,95,4
0,Minor,11:47,Thursday,Stormy,Dark,National Highway,Wet,Police Checkpost,82,3
0,Minor,23:21,Tuesday,Stormy,Dusk,Urban Road,Wet,Signs,101,5
1,Serious,23:55,Sunday,Foggy,Daylight,Urban Road,Dry,Police Checkpost,51,2
0,Serious,5:46,Friday,Stormy,Dusk,National Highway,Wet,Unknown,88,1
0,Serious,20:21,Monday,Stormy,Dark,National Highway,Wet,Police Checkpost,107,1
0,Serious,5:56,Wednesday,Rainy,Dark,Village Road,Wet,Police Checkpost,33,5
0,Minor,8:34,Monday,Stormy,Dusk,Village Road,Under Construction,Signals,120,4
0,Minor,8:0,Monday,Stormy,Dusk,Village Road,Wet,Signals,72,2
0,Fatal,23:43,Thursday,Hazy,Dawn,Urban Road,Damaged,Signals,92,2
0,Serious,8:14,Tuesday,Stormy,Daylight,Urban Road,Wet,Unknown,63,1
0,Serious,18:55,Friday,Hazy,Dusk,Village Road,Under Construction,Signs,66,3
0,Fatal,15:1,Thursday,Rainy,Dusk,Urban Road,Under Construction,Signals,69,1
1,Minor,15:7,Thursday,Stormy,Dark,Village Road,Wet,Signs,59,4
1,Serious,2:34,Thursday,Foggy,Daylight,Village Road,Dry,Signals,30,5
0,Minor,14:45,Wednesday,Clear,Daylight,State Highway,Damaged,Unknown,35,4
1,Minor,14:17,Saturday,Rainy,Dark,State Highway,Dry,Police Checkpost,57,1
0,Minor,13:41,Sunday,Rainy,Dawn,State Highway,Wet,Police Checkpost,53,4
0,Fatal,1:50,Wednesday,Foggy,Dusk,Village Road,Under Construction,Signals,96,2
0,Fatal,18:24,Wednesday,Clear,Dawn,State Highway,Damaged,Police Checkpost,38,2
0,Minor,17:36,Friday,Rainy,Dark,State Highway,Dry,Police Checkpost,84,5
0,Minor,20:52,Saturday,Hazy,Dark,Village Road,Dry,Police Checkpost,53,2
0,Serious,16:4,Friday,Foggy,Daylight,National Highway,Dry,Signals,45,5
0,Minor,6:12,Saturday,Foggy,Daylight,National Highway,Dry,Signs,49,2
1,Fatal,16:30,Friday,Hazy,Daylight,Urban Road,Dry,Unknown,102,1
0,Serious,1:9,Wednesday,Hazy,Dusk,State Highway,Damaged,Signals,111,3
0,Serious,10:20,Wednesday,Stormy,Dark,Urban Road,Damaged,Signals,90,3
1,Serious,17:3,Sunday,Hazy,Dark,State Highway,Wet,Unknown,90,4
0,Serious,18:2,Wednesday,Clear,Dark,Urban Road,Dry,Unknown,78,2
0,Fatal,1:39,Thursday,Hazy,Dawn,National Highway,Damaged,Unknown,112,2
1,Minor,11:11,Friday,Stormy,Dark,Urban Road,Under Construction,Signals,46,3
0,Serious,18:8,Thursday,Stormy,Dawn,Village Road,Dry,Signs,45,4
0,Minor,19:23,Friday,Foggy,Dawn,Village Road,Dry,Signals,78,1
0,Serious,19:29,Thursday,Foggy,Dark,State Highway,Under Construction,Unknown,119,1
1,Serious,0:7,Thursday,Rainy,Dusk,Urban Road,Wet,Police Checkpost,37,5
0,Serious,21:55,Saturday,Foggy,Daylight,Urban Road,Wet,Unknown,58,1
0,Serious,23:44,Wednesday,Rainy,Dark,State Highway,Wet,Signals,109,1
0,Minor,0:27,Friday,Foggy,Dark,Village Road,Wet,Signals,86,4
1,Minor,8:58,Saturday,Foggy,Dawn,Urban Road,Wet,Unknown,30,1
1,Minor,9:55,Wednesday,Foggy,Daylight,Urban Road,Damaged,Unknown,81,5
0,Minor,16:59,Sunday,Foggy,Dusk,Urban Road,Damaged,Police Checkpost,56,2
0,Fatal,8:8,Tuesday,Rainy,Daylight,Urban Road,Wet,Signs,53,4
0,Minor,18:0,Sunday,Clear,Daylight,State Highway,Under Construction,Unknown,114,3
1,Minor,13:8,Friday,Stormy,Dawn,Urban Road,Dry,Signs,97,1
0,Serious,16:40,Saturday,Hazy,Dawn,Village Road,Wet,Unknown,109,1
0,Serious,7:11,Saturday,Rainy,Dawn,National Highway,Dry,Unknown,96,4
0,Minor,11:19,Thursday,Hazy,Daylight,Urban Road,Dry,Signals,46,4
0,Serious,19:26,Saturday,Rainy,Daylight,State Highway,Wet,Signs,30,4
0,Minor,23:48,Saturday,Stormy,Dusk,Village Road,Under Construction,Police Checkpost,55,3
0,Fatal,21:9,Sunday,Stormy,Daylight,Urban Road,Dry,Police Checkpost,47,3
0,Serious,5:12,Wednesday,Foggy,Daylight,Village Road,Damaged,Unknown,72,5
1,Minor,7:43,Sunday,Rainy,Dark,Village Road,Under Construction,Signals,41,5
0,Minor,7:27,Thursday,Hazy,Dark,National Highway,Damaged,Police Checkpost,77,3
0,Serious,1:50,Monday,Hazy,Dusk,State Highway,Wet,Signs,116,2
1,Minor,17:33,Monday,Rainy,Dark,State Highway,Wet,Police Checkpost,78,3
0,Fatal,23:14,Sunday,Stormy,Dawn,National Highway,Dry,Police Checkpost,46,1
0,Minor,0:49,Thursday,Stormy,Daylight,Urban Road,Under Construction,Unknown,86,1
0,Minor,6:1,Monday,Hazy,Daylight,National Highway,Dry,Signals,87,3
0,Minor,13:31,Friday,Clear,Dawn,Urban Road,Damaged,Signals,110,4
0,Serious,5:34,Monday,Hazy,Daylight,Urban Road,Wet,Police Checkpost,43,5
0,Fatal,7:25,Tuesday,Foggy,Dawn,Urban Road,Dry,Unknown,64,4
0,Fatal,11:41,Friday,Foggy,Dark,Urban Road,Damaged,Signals,117,3
0,Minor,17:31,Saturday,Rainy,Daylight,National Highway,Under Construction,Unknown,60,5
0,Fatal,1:42,Saturday,Clear,Dawn,Urban Road,Wet,Unknown,37,3
0,Serious,8:32,Thursday,Stormy,Dawn,Village Road,Dry,Police Checkpost,100,4
0,Fatal,11:27,Wednesday,Stormy,Dawn,State Highway,Wet,Unknown,44,5
0,Fatal,19:51,Wednesday,Rainy,Dark,State Highway,Dry,Signals,98,3
1,Minor,19:22,Thursday,Hazy,Dark,Village Road,Dry,Unknown,114,1
0,Minor,9:48,Thursday,Stormy,Daylight,State Highway,Wet,Unknown,80,4
0,Serious,21:30,Wednesday,Stormy,Daylight,State Highway,Wet,Unknown,114,3
0,Minor,11:52,Thursday,Hazy,Dusk,State Highway,Damaged,Signs,30,5
0,Fatal,9:44,Tuesday,Foggy,Dawn,State Highway,Damaged,Unknown,94,2
0,Serious,22:16,Thursday,Foggy,Dark,Village Road,Dry,Unknown,120,1
0,Serious,16:12,Monday,Hazy,Daylight,Urban Road,Under Construction,Signs,44,4
0,Serious,9:30,Sunday,Stormy,Dawn,Village Road,Dry,Signs,82,3
1,Fatal,5:36,Thursday,Hazy,Dusk,National Highway,Wet,Signals,106,1
1,Minor,15:33,Friday,Rainy,Dusk,National Highway,Dry,Unknown,38,2
0,Minor,5:31,Monday,Clear,Daylight,Urban Road,Under Construction,Signals,33,3
0,Fatal,13:54,Saturday,Hazy,Dusk,Village Road,Damaged,Unknown,80,3
0,Fatal,13:7,Tuesday,Stormy,Dark,State Highway,Under Construction,Signs,105,5
0,Serious,14:56,Wednesday,Foggy,Dusk,Village Road,Dry,Unknown,101,2
1,Minor,6:26,Monday,Stormy,Daylight,Village Road,Under Construction,Signs,106,5
0,Minor,16:13,Sunday,Hazy,Dark,State Highway,Damaged,Signs,55,5
0,Minor,7:29,Sunday,Clear,Dark,State Highway,Wet,Signals,36,5
0,Minor,11:23,Monday,Stormy,Dusk,Urban Road,Wet,Unknown,30,2
0,Minor,2:23,Tuesday,Rainy,Daylight,State Highway,Wet,Signs,49,3
1,Minor,8:34,Friday,Rainy,Dusk,State Highway,Under Construction,Police Checkpost,77,1
0,Fatal,13:27,Saturday,Hazy,Dusk,State Highway,Dry,Police Checkpost,81,2
0,Minor,20:53,Thursday,Rainy,Daylight,State Highway,Under Construction,Signs,83,4
0,Serious,15:3,Saturday,Clear,Dawn,State Highway,Dry,Signals,97,3
1,Minor,16:33,Sunday,Hazy,Dusk,Urban Road,Dry,Signs,76,1
1,Serious,20:56,Sunday,Clear,Daylight,National Highway,Wet,Signals,50,2
1,Minor,8:12,Tuesday,Clear,Daylight,Village Road,Dry,Signs,75,1
0,Serious,2:14,Monday,Stormy,Dawn,Urban Road,Wet,Signs,75,3
0,Minor,6:39,Sunday,Rainy,Dark,State Highway,Dry,Police Checkpost,58,3
1,Minor,3:5,Tuesday,Stormy,Dawn,National Highway,Damaged,Police Checkpost,45,5
0,Fatal,19:40,Sunday,Hazy,Dark,Village Road,Wet,Unknown,75,3
0,Serious,15:44,Saturday,Clear,Dark,National Highway,Dry,Unknown,92,2
0,Minor,20:14,Thursday,Stormy,Dusk,Village Road,Wet,Unknown,76,1
1,Minor,11:52,Saturday,Stormy,Dawn,Village Road,Wet,Signs,100,5
0,Serious,13:6,Monday,Rainy,Dark,Village Road,Damaged,Police Checkpost,55,1
0,Fatal,8:52,Monday,Stormy,Dawn,National Highway,Under Construction,Unknown,105,2
0,Minor,16:36,Monday,Hazy,Dark,National Highway,Wet,Signals,100,5
0,Serious,16:41,Thursday,Rainy,Daylight,Urban Road,Under Construction,Unknown,82,5
0,Serious,0:28,Tuesday,Hazy,Daylight,Village Road,Damaged,Police Checkpost,115,1
0,Fatal,8:30,Saturday,Rainy,Dawn,Urban Road,Dry,Signs,114,5
0,Minor,6:18,Saturday,Stormy,Dark,State Highway,Under Construction,Signs,31,3
0,Fatal,2:10,Saturday,Stormy,Dark,Village Road,Wet,Police Checkpost,46,3
0,Serious,21:10,Wednesday,Rainy,Dawn,State Highway,Dry,Signs,110,4
0,Fatal,16:22,Sunday,Stormy,Dawn,Village Road,Under Construction,Signs,94,1
0,Fatal,11:24,Monday,Clear,Dark,Urban Road,Wet,Signs,100,1
0,Serious,22:37,Thursday,Rainy,Dark,Village Road,Dry,Police Checkpost,102,4
0,Serious,12:6,Tuesday,Foggy,Dark,State Highway,Wet,Police Checkpost,97,4
0,Minor,11:32,Monday,Stormy,Daylight,Urban Road,Under Construction,Police Checkpost,76,5
0,Fatal,6:13,Monday,Rainy,Dusk,Urban Road,Under Construction,Unknown,75,5
1,Minor,5:0,Friday,Stormy,Dark,Village Road,Dry,Signs,49,3
0,Minor,14:20,Saturday,Rainy,Dawn,Urban Road,Dry,Signals,113,3
1,Minor,23:17,Friday,Hazy,Dusk,State Highway,Wet,Signs,61,2
0,Minor,19:28,Wednesday,Rainy,Dawn,Village Road,Wet,Unknown,43,5
0,Serious,21:15,Friday,Clear,Dusk,Urban Road,Under Construction,Police Checkpost,81,1
0,Fatal,21:37,Friday,Hazy,Dawn,State Highway,Wet,Signs,41,2
0,Serious,6:30,Sunday,Clear,Dusk,National Highway,Damaged,Police Checkpost,86,2
0,Serious,22:38,Tuesday,Rainy,Daylight,State Highway,Dry,Police Checkpost,42,3
1,Minor,18:51,Friday,Stormy,Dawn,Village Road,Damaged,Unknown,86,5
1,Fatal,3:27,Monday,Foggy,Dusk,Village Road,Wet,Signs,99,5
0,Minor,1:14,Tuesday,Clear,Dusk,Village Road,Under Construction,Police Checkpost,89,4
0,Minor,17:33,Wednesday,Stormy,Daylight,State Highway,Under Construction,Signs,89,1
0,Minor,5:54,Saturday,Clear,Daylight,State Highway,Damaged,Signals,31,1
0,Fatal,10:56,Wednesday,Rainy,Dusk,Village Road,Wet,Unknown,75,4
0,Minor,19:31,Monday,Hazy,Dawn,State Highway,Under Construction,Signs,103,3
0,Serious,15:22,Wednesday,Rainy,Dusk,National Highway,Damaged,Unknown,113,4
0,Fatal,0:23,Saturday,Hazy,Dusk,Urban Road,Under Construction,Signs,71,4
0,Minor,11:57,Tuesday,Rainy,Dusk,Urban Road,Under Construction,Signs,35,2
1,Minor,12:40,Thursday,Clear,Dark,State Highway,Under Construction,Signs,79,5
0,Fatal,4:51,Tuesday,Hazy,Daylight,State Highway,Damaged,Police Checkpost,54,3
0,Fatal,2:42,Saturday,Clear,Daylight,National Highway,Under Construction,Unknown,86,2
0,Minor,4:35,Saturday,Hazy,Daylight,Village Road,Dry,Unknown,32,4
0,Minor,4:41,Monday,Stormy,Daylight,Urban Road,Damaged,Signals,57,1
0,Minor,12:51,Monday,Rainy,Daylight,National Highway,Wet,Police Checkpost,104,3
0,Minor,0:25,Tuesday,Foggy,Dark,Urban Road,Wet,Unknown,86,2
1,Serious,15:50,Friday,Clear,Dusk,Village Road,Under Construction,Unknown,119,3
0,Serious,6:48,Sunday,Hazy,Dusk,Village Road,Damaged,Signals,110,3
0,Serious,0:14,Saturday,Clear,Dawn,National Highway,Damaged,Signals,99,5
0,Minor,19:14,Tuesday,Rainy,Dark,Urban Road,Damaged,Signs,79,3
0,Minor,10:35,Sunday,Hazy,Dusk,State Highway,Dry,Police Checkpost,45,5
0,Fatal,8:38,Thursday,Rainy,Dawn,State Highway,Damaged,Signs,88,4
0,Serious,21:54,Wednesday,Foggy,Dawn,Village Road,Damaged,Police Checkpost,76,3
0,Minor,1:39,Wednesday,Rainy,Dark,State Highway,Wet,Police Checkpost,81,3
0,Fatal,12:16,Tuesday,Hazy,Daylight,Urban Road,Damaged,Police Checkpost,98,1
0,Fatal,11:52,Thursday,Rainy,Dawn,Urban Road,Under Construction,Unknown,65,2
1,Fatal,11:43,Wednesday,Rainy,Dark,Village Road,Wet,Police Checkpost,108,2
0,Serious,4:58,Wednesday,Rainy,Dusk,Village Road,Under Construction,Unknown,112,3
0,Fatal,19:7,Sunday,Clear,Dusk,Village Road,Damaged,Unknown,118,2
0,Serious,4:25,Thursday,Clear,Dark,State Highway,Dry,Signals,81,1
1,Minor,17:2,Monday,Stormy,Dusk,Urban Road,Wet,Signals,91,4
0,Serious,0:22,Tuesday,Rainy,Dusk,Urban Road,Dry,Signs,95,3
0,Fatal,22:55,Tuesday,Rainy,Daylight,State Highway,Damaged,Signals,37,1
0,Serious,15:58,Tuesday,Rainy,Daylight,Urban Road,Dry,Signals,81,2
0,Fatal,15:42,Friday,Clear,Daylight,State Highway,Damaged,Signs,89,4
0,Serious,5:26,Tuesday,Clear,Dusk,National Highway,Damaged,Police Checkpost,76,2
0,Minor,1:3,Monday,Foggy,Dusk,Urban Road,Dry,Signals,32,4
0,Fatal,19:25,Thursday,Foggy,Dark,Village Road,Wet,Signals,104,5
1,Serious,10:23,Friday,Rainy,Daylight,State Highway,Dry,Signals,107,3
0,Minor,4:24,Saturday,Rainy,Dusk,Urban Road,Wet,Signs,79,1
0,Minor,5:29,Thursday,Clear,Dusk,National Highway,Under Construction,Police Checkpost,84,2
0,Fatal,6:45,Saturday,Hazy,Dark,Urban Road,Dry,Unknown,98,3
0,Serious,2:56,Friday,Foggy,Dark,State Highway,Dry,Police Checkpost,51,3
1,Minor,12:5,Saturday,Stormy,Dusk,Village Road,Wet,Unknown,66,2
0,Minor,3:58,Saturday,Rainy,Dusk,National Highway,Under Construction,Signals,74,1
0,Fatal,16:0,Tuesday,Clear,Daylight,National Highway,Damaged,Signals,33,5
0,Serious,7:19,Sunday,Stormy,Dusk,State Highway,Wet,Signs,59,4
0,Serious,17:58,Saturday,Clear,Daylight,Urban Road,Dry,Police Checkpost,64,4
0,Fatal,10:44,Tuesday,Rainy,Dawn,Urban Road,Damaged,Signals,62,5
0,Minor,3:52,Sunday,Hazy,Daylight,National Highway,Wet,Signals,51,1
0,Minor,7:49,Thursday,Clear,Dark,State Highway,Dry,Signals,40,4
1,Minor,1:43,Saturday,Hazy,Dawn,Village Road,Dry,Police Checkpost,44,4
0,Fatal,19:55,Saturday,Stormy,Dark,Urban Road,Dry,Signals,85,5
0,Fatal,3:53,Wednesday,Foggy,Daylight,National Highway,Under Construction,Signs,114,3
0,Fatal,16:29,Thursday,Foggy,Dusk,State Highway,Dry,Police Checkpost,81,2
0,Minor,5:35,Sunday,Hazy,Dusk,State Highway,Under Construction,Unknown,33,3
0,Fatal,0:13,Friday,Stormy,Dusk,State Highway,Damaged,Unknown,72,1
0,Minor,5:53,Thursday,Rainy,Dark,State Highway,Damaged,Police Checkpost,112,3
0,Fatal,7:38,Thursday,Stormy,Dusk,Village Road,Under Construction,Unknown,38,4
0,Fatal,13:18,Thursday,Foggy,Dusk,Village Road,Damaged,Signs,44,3
0,Minor,7:41,Wednesday,Rainy,Dawn,National Highway,Damaged,Police Checkpost,117,2
0,Minor,21:57,Thursday,Rainy,Daylight,Urban Road,Wet,Signs,44,3
0,Fatal,0:49,Thursday,Clear,Daylight,State Highway,Under Construction,Unknown,106,1
0,Serious,7:19,Sunday,Stormy,Dark,Urban Road,Wet,Police Checkpost,94,3
0,Minor,4:9,Tuesday,Clear,Dark,National Highway,Wet,Police Checkpost,46,1
1,Fatal,22:52,Tuesday,Stormy,Dark,National Highway,Dry,Signals,53,3
0,Minor,17:29,Sunday,Stormy,Dawn,State Highway,Damaged,Unknown,36,1
0,Fatal,4:44,Friday,Foggy,Dark,Urban Road,Damaged,Unknown,113,5
0,Minor,22:53,Sunday,Hazy,Dusk,Urban Road,Under Construction,Police Checkpost,66,5
0,Minor,17:57,Saturday,Foggy,Dark,State Highway,Under Construction,Signals,89,3
0,Fatal,8:22,Tuesday,Hazy,Dark,State Highway,Under Construction,Signs,63,2
0,Fatal,8:51,Saturday,Clear,Daylight,Urban Road,Under Construction,Signs,81,1
0,Fatal,21:37,Wednesday,Hazy,Daylight,National Highway,Damaged,Unknown,37,1
0,Fatal,21:29,Friday,Clear,Dark,Village Road,Damaged,Signs,39,3
0,Serious,10:25,Sunday,Foggy,Dusk,Urban Road,Dry,Signals,72,2
0,Fatal,6:36,Sunday,Rainy,Dawn,Urban Road,Under Construction,Unknown,54,4
0,Minor,13:40,Saturday,Stormy,Dusk,Village Road,Damaged,Signs,95,4
0,Minor,19:51,Monday,Stormy,Daylight,Village Road,Under Construction,Police Checkpost,114,2
0,Serious,12:27,Friday,Rainy,Dark,Village Road,Dry,Police Checkpost,112,5
0,Minor,13:13,Wednesday,Rainy,Dusk,State Highway,Under Construction,Signals,57,2
0,Minor,6:3,Wednesday,Foggy,Dawn,Village Road,Wet,Signs,100,5
0,Fatal,9:22,Saturday,Rainy,Dawn,State Highway,Under Construction,Signals,87,3
0,Fatal,19:32,Monday,Stormy,Dawn,Village Road,Under Construction,Signs,32,3
0,Fatal,5:8,Saturday,Clear,Dark,Urban Road,Dry,Signs,81,5
0,Serious,15:16,Saturday,Hazy,Dark,Village Road,Dry,Signals,39,2
1,Serious,20:34,Thursday,Rainy,Dark,National Highway,Wet,Signals,54,2
0,Minor,14:50,Thursday,Clear,Dusk,Urban Road,Under Construction,Signals,41,1
1,Fatal,2:4,Sunday,Stormy,Dawn,National Highway,Wet,Signs,106,1
0,Serious,13:38,Friday,Stormy,Dark,Village Road,Wet,Signals,39,4
0,Minor,23:32,Saturday,Stormy,Dawn,Village Road,Damaged,Signs,36,5
0,Fatal,4:46,Sunday,Foggy,Dark,Urban Road,Dry,Unknown,103,5
0,Serious,7:34,Tuesday,Rainy,Dusk,State Highway,Dry,Signs,80,1
0,Minor,3:23,Thursday,Foggy,Daylight,Village Road,Wet,Signs,44,5
1,Fatal,12:50,Thursday,Stormy,Dusk,Urban Road,Wet,Signals,63,4
0,Minor,5:0,Monday,Clear,Dark,Village Road,Wet,Police Checkpost,53,3
0,Fatal,19:46,Wednesday,Clear,Dark,Village Road,Wet,Signs,60,4
0,Minor,21:19,Friday,Stormy,Dark,National Highway,Dry,Signs,108,1
0,Serious,1:48,Friday,Foggy,Dusk,National Highway,Damaged,Signals,36,4
0,Fatal,2:51,Friday,Clear,Daylight,Urban Road,Damaged,Police Checkpost,38,5
0,Fatal,1:5,Sunday,Foggy,Dawn,Urban Road,Dry,Police Checkpost,48,2
0,Fatal,8:6,Wednesday,Rainy,Dark,Village Road,Damaged,Police Checkpost,102,2
1,Serious,20:42,Wednesday,Rainy,Dark,Urban Road,Wet,Signs,108,1
0,Serious,19:41,Monday,Foggy,Daylight,National Highway,Wet,Signs,33,5
0,Fatal,5:29,Sunday,Rainy,Dusk,Village Road,Damaged,Police Checkpost,75,4
0,Serious,12:47,Monday,Clear,Dusk,Village Road,Under Construction,Unknown,41,2
0,Fatal,23:53,Sunday,Foggy,Dark,National Highway,Under Construction,Unknown,70,3
0,Fatal,10:49,Saturday,Stormy,Dark,National Highway,Damaged,Signs,109,5
0,Serious,3:10,Thursday,Rainy,Dark,Urban Road,Under Construction,Signs,82,5
0,Fatal,22:47,Thursday,Foggy,Dawn,Village Road,Wet,Signs,37,4
0,Fatal,10:50,Wednesday,Stormy,Dark,State Highway,Under Construction,Unknown,51,3
0,Minor,19:19,Friday,Clear,Dawn,Urban Road,Dry,Signals,49,3
0,Fatal,22:9,Wednesday,Rainy,Daylight,Urban Road,Dry,Unknown,53,5
0,Fatal,3:33,Wednesday,Clear,Daylight,Urban Road,Under Construction,Signals,73,5
0,Fatal,6:45,Friday,Hazy,Dusk,State Highway,Under Construction,Police Checkpost,92,4
0,Fatal,17:14,Friday,Hazy,Dawn,Urban Road,Damaged,Police Checkpost,51,3
0,Minor,22:46,Wednesday,Clear,Dawn,Urban Road,Dry,Police Checkpost,106,2
0,Fatal,11:28,Thursday,Foggy,Dark,Urban Road,Under Construction,Signals,34,4
0,Minor,0:25,Saturday,Hazy,Dark,National Highway,Damaged,Signals,76,2
0,Fatal,7:21,Wednesday,Rainy,Dusk,National Highway,Wet,Signs,96,3
0,Fatal,0:43,Wednesday,Foggy,Dark,National Highway,Damaged,Unknown,109,3
0,Serious,8:10,Sunday,Stormy,Daylight,State Highway,Dry,Unknown,106,4
0,Fatal,9:18,Tuesday,Hazy,Daylight,Urban Road,Damaged,Signals,50,1
0,Fatal,23:7,Monday,Stormy,Daylight,National Highway,Wet,Unknown,82,5
0,Fatal,4:0,Sunday,Hazy,Daylight,State Highway,Under Construction,Unknown,112,3
1,Fatal,16:4,Tuesday,Hazy,Dawn,Urban Road,Wet,Signals,41,3
0,Fatal,1:10,Monday,Rainy,Dawn,Urban Road,Wet,Signals,110,1
0,Fatal,17:55,Saturday,Foggy,Dusk,Village Road,Dry,Signals,54,1
0,Serious,2:50,Wednesday,Clear,Dark,State Highway,Dry,Unknown,118,1
1,Fatal,19:4,Saturday,Rainy,Dark,State Highway,Damaged,Signs,49,1
0,Fatal,7:13,Saturday,Clear,Dark,State Highway,Damaged,Signals,96,4
0,Fatal,10:31,Friday,Stormy,Dark,State Highway,Wet,Unknown,81,2
0,Minor,15:6,Tuesday,Clear,Dawn,Village Road,Under Construction,Police Checkpost,75,3
0,Serious,5:29,Wednesday,Foggy,Dusk,National Highway,Damaged,Police Checkpost,82,3
1,Serious,17:27,Wednesday,Stormy,Dusk,Village Road,Damaged,Signs,63,3
0,Fatal,13:26,Tuesday,Stormy,Dusk,State Highway,Dry,Police Checkpost,68,5
0,Fatal,19:39,Tuesday,Rainy,Dark,Village Road,Wet,Police Checkpost,41,3
0,Minor,5:44,Thursday,Hazy,Daylight,Urban Road,Wet,Signs,114,1
0,Fatal,8:53,Thursday,Rainy,Daylight,Village Road,Damaged,Police Checkpost,76,5
0,Fatal,22:37,Sunday,Rainy,Daylight,National Highway,Wet,Police Checkpost,90,1
1,Fatal,9:50,Thursday,Foggy,Dusk,National Highway,Under Construction,Unknown,88,3
